unom,t_inside,c1,ro1,V,alpha,A,t_in_5_hours,t_in_10_hours,t_in_15_hours,t_in_20_hours,t_in_25_hours,t_in_30_hours,hours_untill_cooling
55856.0,24,1158,933,11784,2.9910586519191984,2494.3840923161774,2,-2,0,1,2,-1,13
72164.0,21,939,878,5715,3.1021949799202155,1571.267004681254,-12,-17,-20,-17,-20,-17,2
36318.0,25,1237,1340,9651,2.442124782350063,1925.0932444949258,14,13,8,12,8,14,65
79756.0,21,896,1283,7974,2.356660686443859,2314.8494551482177,0,1,-4,0,2,3,7
3673.0,24,886,1119,7350,2.645827338614127,2656.3132345414388,-18,-19,-21,-16,-21,-19,4
76046.0,25,955,1348,7032,2.4033880585169944,2464.8829586818115,-12,-14,-15,-13,-15,-14,8
12952.0,26,879,1048,3771,2.7696311416230603,951.3359028229725,-14,-15,-15,-14,-17,-13,7
61367.0,21,926,1440,8109,3.0899322641544766,1871.653814144058,-9,-9,-9,-9,-9,-11,5
82050.0,25,919,817,9903,2.8722176900910004,2485.854380288596,1,-2,-2,-2,2,2,9
27102.0,23,1084,1187,6024,2.449098893909021,1202.3976047880333,3,-1,-2,0,-1,2,17
43512.0,24,1013,1196,10947,2.973931662865152,2292.2827050780625,-11,-14,-16,-13,-14,-16,9
69033.0,28,785,1313,9966,2.819282398827301,2678.7161103782537,1,-2,-2,-2,-2,-1,15
72611.0,23,1137,911,5973,2.552774798542505,2333.9614392701524,3,4,2,3,0,5,7
21274.0,23,1061,1031,7002,2.6678470671324224,1296.3332904774143,-14,-12,-15,-17,-16,-15,8
35434.0,28,969,1355,5901,2.832498870402762,1505.3185709344052,-13,-10,-13,-15,-16,-15,14
38916.0,25,1232,1475,11325,2.7100382261691767,2085.377663637932,-8,-11,-17,-14,-15,-11,20
36293.0,21,831,1096,11136,2.9046251319978675,2311.9861591281206,-3,-7,-10,-8,-9,-10,4
62346.0,22,937,852,5889,2.428190632854705,1841.7556841231685,-8,-10,-12,-11,-12,-9,3
26832.0,28,719,1096,5595,2.4322933469144434,2136.707747915002,-2,-3,-3,-2,-1,-3,9
42549.0,23,1156,1008,11265,2.8478134471051657,2325.338685009132,9,8,8,10,8,7,22
69290.0,22,1267,1265,5388,2.640353103142185,1902.8231657198207,9,7,2,7,2,6,12
21661.0,28,1268,1073,9741,2.461696664189044,1934.048603318955,-2,-6,-4,-6,-2,-1,28
22675.0,27,1125,870,10620,2.635623278083648,2574.2727128258966,-11,-15,-18,-17,-15,-18,9
55762.0,27,1274,1305,6807,2.5239664498976158,1895.8101170739646,-17,-18,-18,-15,-18,-19,15
40107.0,23,809,929,6441,2.373558047813688,2224.115104934994,8,4,3,3,4,6,7
66338.0,25,1132,1390,5586,3.1306742525025184,1553.4323287481818,1,1,-4,-1,-2,1,16
54891.0,21,1154,1287,4197,2.666703573642076,1187.5150525361773,-10,-13,-19,-17,-13,-15,4
83297.0,27,757,850,9909,3.06965750940072,2671.044739423134,-5,-9,-9,-6,-8,-8,6
9297.0,25,1028,1195,4230,2.496883597163894,1424.92105044455,-5,-7,-9,-6,-11,-7,9
55807.0,27,1018,1434,10179,2.9301138808673435,1849.3631336219505,-2,-5,-5,-2,-5,-4,26
35518.0,22,1001,1103,11193,2.5433327382525546,1638.999694935908,9,7,6,11,7,10,30
43513.0,23,874,876,6264,2.5643232994501886,1343.1425836447895,14,13,9,11,8,8,18
82854.0,27,974,893,4299,2.5542216420234083,1759.340785635347,18,16,11,12,10,13,23
41860.0,21,840,1244,3750,2.626268143785633,1697.0562748477141,8,7,3,5,5,5,5
45465.0,23,1196,1499,11478,2.4735267136625225,2571.2502795332857,16,10,10,12,12,15,54
39249.0,23,717,1296,7647,3.1060538262686093,2009.3819945445912,8,5,5,6,4,6,10
44142.0,28,1271,1199,8562,2.799029957400168,2794.377211473068,14,13,9,12,11,11,37
77722.0,28,1055,1421,7035,3.034141593302253,1423.404369812036,2,2,-2,0,1,3,32
19014.0,27,1283,1355,11856,3.1235290409068424,2822.628562173918,-1,-5,-8,-4,-6,-4,22
39577.0,24,783,1395,10761,2.9835615843812553,3132.735545812956,17,12,11,11,12,12,24
17848.0,25,1176,1156,7995,2.9656561764948295,1517.418861092744,6,4,-1,3,0,3,25
6076.0,24,1147,1065,10971,2.4391704027543164,2294.7941084114714,-14,-16,-16,-16,-13,-14,11
74740.0,25,764,1461,4890,2.817168127787604,2055.470749001309,-10,-12,-13,-10,-8,-12,5
81585.0,21,1239,1187,10653,2.883612496392698,2022.5607531048354,11,11,8,12,11,9,26
20860.0,28,1164,1355,8613,2.366283846751374,1701.1666585023352,-2,-9,-7,-6,-6,-8,31
74253.0,27,1227,1428,4476,2.559070570114196,2072.910996642161,-6,-7,-6,-5,-5,-7,13
58843.0,27,1184,1082,6687,2.490953528998607,2119.82640798722,-3,-3,-8,-3,-6,-5,14
76282.0,26,1000,1274,7035,2.4071443911168364,1837.6071397336266,14,12,10,12,11,10,39
11875.0,22,1296,1258,5571,2.8370858370066556,1934.8674373196732,-5,-7,-12,-9,-8,-8,6
33739.0,28,906,1207,3777,2.651361325689054,1474.9752540297072,14,12,11,15,15,15,32
33494.0,24,947,1218,10059,3.0678472479419354,2407.069587693717,15,9,8,10,10,8,24
3678.0,22,1298,1021,9759,3.059510248999545,2821.939758393152,9,9,4,6,3,7,11
14298.0,24,937,1398,8601,2.769570741248392,2131.0391831216994,-7,-5,-12,-10,-9,-9,11
62979.0,27,1300,884,11934,2.6890916599147414,3384.76587078043,-2,-7,-8,-4,-7,-4,13
20274.0,25,1105,1384,4968,3.0857838985454618,1827.1551658247308,-1,-4,-4,-1,-5,1,11
11151.0,26,1279,823,3108,2.4946216234627645,946.0993605324973,-2,-5,-6,-4,-7,-4,11
51205.0,28,858,839,8694,3.1196894193268876,2815.8352224517685,-12,-17,-21,-18,-16,-15,4
9867.0,22,1212,1171,7812,2.517466853087807,1936.4297043786532,-11,-11,-11,-12,-14,-12,8
6289.0,21,849,1188,4083,3.084597699674811,1929.6880576922272,-9,-12,-11,-12,-14,-12,1
65113.0,23,928,1421,5868,2.6461460022808465,1592.1607958997106,12,9,5,5,6,8,19
27630.0,21,864,1334,11271,2.7669673357777946,1644.7005806529041,-3,-5,-10,-7,-9,-9,8
11178.0,25,881,906,8109,3.0105391745608396,2249.4479322713833,7,7,3,7,6,5,11
31409.0,21,718,914,11982,2.7727538987147553,3391.566009972384,-9,-10,-17,-12,-13,-10,2
69411.0,28,805,1104,5121,2.851201597198738,2044.19568534913,13,9,6,8,7,12,16
7560.0,27,1127,858,7482,2.7322318061273085,2542.527875953379,9,9,8,8,8,6,18
73432.0,26,827,953,4083,2.7664052908783736,1714.5728330986701,-11,-12,-16,-13,-12,-12,4
20774.0,22,968,828,10677,2.4830536657892046,2263.8374499950296,2,0,-1,-1,-1,1,8
16096.0,21,1120,827,6240,2.42999969742333,1730.6646122227148,12,14,12,11,13,14,15
63406.0,26,1260,872,7485,2.9368841677449637,2612.72271777929,13,11,8,13,13,11,25
83950.0,27,1187,1200,11892,2.7752033616795657,2724.0792940000847,-16,-15,-19,-15,-15,-17,14
16047.0,26,1208,1424,8613,2.6717702686553286,1437.7482394355418,4,6,4,5,6,7,48
62477.0,23,704,1435,9570,2.975283680304581,2794.480273682389,6,7,4,3,7,8,10
19200.0,23,1222,1003,11535,2.647339366079425,2682.8790505723514,-3,-7,-9,-5,-6,-5,10
73006.0,21,1035,1482,9999,2.794470982246361,2683.1474055668277,-15,-14,-17,-17,-15,-12,4
35891.0,22,1179,1205,5748,2.596533321961809,1485.6756038920475,-16,-15,-16,-15,-17,-15,6
68019.0,21,855,1309,3507,2.562584825075262,1641.1508157387607,8,3,3,5,6,3,5
47389.0,23,863,1092,3582,2.720205190036708,1375.2439783543864,-6,-7,-11,-12,-9,-12,4
28844.0,22,1033,1468,7458,2.686451729655208,2466.926833126593,10,10,7,5,6,9,14
28756.0,23,761,1306,8898,2.894860878800143,2066.649462293981,-6,-3,-10,-6,-8,-8,7
56992.0,28,828,910,8373,2.3732828507772803,2689.66020158681,5,4,4,2,2,3,14
43789.0,28,752,1362,11544,2.3644722765775046,2233.1609883749984,11,7,6,9,7,9,46
4737.0,22,726,1159,5619,2.382150755054148,2141.2855951507263,-12,-17,-18,-15,-17,-15,2
51928.0,22,1222,1155,11109,2.5711490351642983,3010.8045436394573,-13,-19,-20,-16,-17,-15,6
35551.0,28,868,1494,9999,2.5965596183881208,1832.9386241770344,-6,-7,-9,-8,-10,-4,25
73682.0,26,1141,1002,7392,3.0736698942858607,2455.986970649478,-2,-1,-5,-4,-4,-3,9
36029.0,22,999,840,6363,2.791117804979967,2408.9532996718726,1,-3,-3,-5,-1,-5,3
33543.0,23,1193,1158,4785,2.8949047014767944,1589.490484400583,-5,-3,-7,-4,-9,-6,7
44717.0,23,796,944,9471,2.357716927311459,2860.5845556459262,-4,-9,-10,-9,-11,-5,5
