name,address,phone_number,coords
ТЭЦ №23,"Монтажная ул., 1/4с1",+7 (499) 167-70-08,"{55.821649, 37.764117}"
ТЭЦ №22,"ул. Энергетиков, 5, Дзержинский",+7 (495) 957-19-57,"{55.630469, 37.816665}"
ТЭЦ №11,"ш. Энтузиастов, 32, стр. 1",+7 (495) 673-50-05,"{55.753205, 37.726949}"
РТС Перово,"Кетчерская ул., 11А",+7 (495) 375-35-10,"{55.747464, 37.837246}"
КТС-42,"4-я Гражданская улица, 41",,"{55.807567, 37.719944}"
КТС-28,"Бойцовая улица, 24",+7 (499) 160-12-12,"{55.814801, 37.727607}"
ГЭС-1,"Раушская набережная, 10",+7 (495) 957-19-57,"{55.748042, 37.630732}"
ТЭЦ МЭИ,"Красноказарменная ул., 17, стр. 5",+7 (495) 362-70-80,"{55.755886, 37.709356}"
ТЭЦ-12,"Бережковская наб., 16",+7 (495) 957-19-57,"{55.735703, 37.560324}"
ТЭЦ-16,"3-я Хорошёвская ул., 14",+7 (495) 957-19-57,"{55.784237, 37.500889}"
ТЭЦ-20,"ул. Вавилова, 13, стр. 1",+7 (495) 957-19-57,"{55.702688, 37.583108}"
ТЭЦ-21,"Ижорская ул., 9, стр. 2",+7 (495) 957-34-37,"{55.891185, 37.506431}"
ТЭЦ-25,"ул. Генерала Дорохова, 16",+7 (495) 957-19-57,"{55.694790, 37.446157}"
ТЭЦ-26,"Востряковский пр., 10, стр. 8",+7 (495) 957-19-57,"{55.577547, 37.630346}"
ТЭЦ-27,"Волковское ш., 1, Мытищи",+7 (495) 957-34-37,"{55.916478, 37.692245}"
ТЭЦ-28,"Ижорская ул., д. 13/19",+7 (495) 957-19-57,"{55.889952, 37.514051}"
ТЭЦ-8,"Остаповский пр., 1, стр. 5",+7 (495) 957-19-57,"{55.724044, 37.696284}"
ТЭЦ-9,"Автозаводская ул., 12, корп. 1, стр. 10",+7 (495) 957-19-57,"{55.704739, 37.652527}"
